group,name1,name2,C.ij.bray,E.ij.bray,ST.ij.bray,NST.ij.bray,MST.ij.bray,SES.ij.bray,RC.ij.bray
1,a,A1-20-normal,A1-100-normal,0.47720522,0.28313636302,0.593322015672838,-0.40502468789642,0.432698265962529,-2.45456128842133,-0.988
2,a,A1-40-normal,A1-100-normal,0.74710945,0.41887671245,0.560663116294406,-0.564167541761223,0.243986787110484,-4.88532316777979,-1
3,a,A1-60-normal,A1-100-normal,0.71037595,0.42874172822,0.603542009298034,-0.355223899047178,0.305991684870259,-4.35757003340013,-1
4,a,A1-80-normal,A1-100-normal,0.77626865,0.42410370212,0.546336248565493,-0.633980629792859,0.21224749472337,-4.97344176564003,-1
5,a,A3-100-normal,A1-100-normal,0.69045269,0.3937466658,0.570273201195001,-0.517338764121099,0.291176188957282,-4.36256417288022,-1
6,a,A3-20-normal,A1-100-normal,0.63016811,0.40663353212,0.645277864219438,-0.151850142212431,0.402187088448181,-3.34703691533205,-1
7,a,A3-40-normal,A1-100-normal,0.70618072,0.403456,0.571321176822839,-0.512232106047219,0.281396136450688,-4.05143151810299,-1
8,a,A3-60-normal,A1-100-normal,0.47950595,0.36344036821,0.75794756709484,0.397175648642379,0.619749005722354,-2.37615898220333,-0.998
9,a,A3-80-normal,A1-100-normal,0.49608487,0.3468436023,0.699161823459764,0.110719852926582,0.53940866598016,-3.08087671858283,-1
10,a,A5-100-normal,A1-100-normal,0.69127254,0.35775757614,0.517534771654607,-0.774326732030059,0.248780195108126,-4.66742630317388,-1
11,a,A5-20-normal,A1-100-normal,0.56462485,0.38494545457,0.681772073209318,0.0259817100153755,0.482602105528378,-2.37721118358132,-0.99
12,a,A5-40-normal,A1-100-normal,0.5139246,0.38289109111,0.745033592690445,0.334247418341706,0.586837260592842,-2.48853254010728,-0.998
13,a,A5-60-normal,A1-100-normal,0.59231254,0.39846590967,0.672729146794697,-0.0180833731411787,0.455939640884255,-3.3612222305969,-1
14,a,A5-80-normal,A1-100-normal,0.75330667,0.39552941326,0.525057627937902,-0.737668766179286,0.214283734426959,-4.7991520627305,-1
15,a,B1-100-normal,A1-100-normal,0.62523839,0.41004724907,0.655825450945199,-0.100453031934042,0.416606586693179,-2.89515225277566,-1
16,a,B1-20-normal,A1-100-normal,0.64690852,0.43770991943,0.676617954312922,0.000866314030150929,0.424883957833185,-3.27341098358703,-1
17,a,B1-40-normal,A1-100-normal,0.683944,0.42906756824,0.627343127858421,-0.239243936312242,0.347283756515989,-3.88453895421387,-1
18,a,B1-60-normal,A1-100-normal,0.4560616,0.35161403761,0.770979265980736,0.460677536056806,0.64678332458791,-2.26948803895645,-0.982
19,a,B1-80-normal,A1-100-normal,0.34466282,0.28155782171,0.816908019582733,0.684482779398912,0.745154187838674,-1.76698031046201,-0.948
