,Hes,Hos,DL,HD,DR,
SD.QD.2023.07.80.ultra.bin.15,0.524691358,0,25.30864198,10.78703704,63.37962963,SD.QD.2023.07.80.ultra.bin.15 63.3796296296296 10.787037037037 25.3086419753086 0 0.524691358024691
SD.QD.2023.07.80.ultra.bin.21,21.27750481,0,0.25635548,1.516769921,76.94936979,SD.QD.2023.07.80.ultra.bin.21 76.9493697927793 1.51676992095706 0.256355479598376 0 21.2775048066652
SD.QD.2023.07.80.ultra.bin.3,9.848349688,0,1.409455843,1.177520071,87.5646744,SD.QD.2023.07.80.ultra.bin.3 87.5646743978591 1.17752007136485 1.40945584299732 0 9.84834968777877
SD.QD.2023.07.80.ultra.bin.7,6.126526082,0,0.876803552,2.896781354,90.09988901,SD.QD.2023.07.80.ultra.bin.7 90.0998890122087 2.89678135405105 0.876803551609323 0 6.12652608213097
ZJ.NB.2021.05.15.bin.12,0.309597523,0,19.62848297,0,80.0619195,ZJ.NB.2021.05.15.bin.12 80.061919504644 0 19.6284829721362 0 0.309597523219814
ZJ.NB.2021.05.15.bin.17,2.85115304,2.306079665,3.438155136,0,91.40461216,ZJ.NB.2021.05.15.bin.17 91.4046121593291 0 3.43815513626834 2.30607966457023 2.85115303983229
ZJ.NB.2021.05.15.bin.19,12.02681388,0,49.76340694,0,38.20977918,ZJ.NB.2021.05.15.bin.19 38.2097791798107 0 49.7634069400631 0 12.0268138801262
ZJ.NB.2021.05.15.bin.4,1.052631579,0,27.86377709,0,71.08359133,ZJ.NB.2021.05.15.bin.4 71.0835913312693 0 27.8637770897833 0 1.05263157894737
ZJ.NB.2021.05.15.bin.5,0.307692308,0,20.30769231,0,79.38461538,ZJ.NB.2021.05.15.bin.5 79.3846153846154 0 20.3076923076923 0 0.307692307692308
ZJ.NB.2021.05.15.bin.9,1.307692308,0,34.61538462,0,64.07692308,ZJ.NB.2021.05.15.bin.9 64.0769230769231 0 34.6153846153846 0 1.30769230769231
ZJ.WZ.2021.05.15.bin.11,15.2373247,2.696871629,26.69902913,0,55.36677454,ZJ.WZ.2021.05.15.bin.11 55.3667745415318 0 26.6990291262136 2.69687162891046 15.2373247033441
ZJ.WZ.2021.05.15.bin.4,3.5639413,4.402515723,9.559748428,0,82.47379455,ZJ.WZ.2021.05.15.bin.4 82.4737945492662 0 9.55974842767296 4.40251572327044 3.56394129979036
ZJ.WZ.2021.05.15.bin.8,12.78825996,0,52.62054507,0,34.59119497,ZJ.WZ.2021.05.15.bin.8 34.5911949685535 0 52.6205450733753 0 12.7882599580713
