distv_num,dist_loca_num
-1.755227164,5.37758386
-1.601551486,5.37758386
-1.593589764,5.37758386
-1.581783347,5.37758386
-1.479373511,5.37758386
-1.414000099,5.37758386
-1.406610298,5.37758386
-1.334487126,5.37758386
-1.332124471,5.37758386
-1.331352761,5.37758386
-1.327108573,5.37758386
-1.254294796,5.37758386
-1.247361128,5.37758386
-1.217231178,5.37758386
-1.206992564,5.37758386
-1.204709747,5.37758386
-1.197130687,5.37758386
-1.139022385,5.37758386
-1.110299471,5.37758386
-1.095040125,5.37758386
-1.093473699,5.37758386
-1.064339035,5.37758386
-1.047026693,5.37758386
-1.046997359,5.37758386
-1.043314817,5.37758386
-1.031934942,5.37758386
-1.027311011,5.37758386
-1.018585182,5.37758386
-1.015334968,5.37758386
-0.998273077,5.37758386
-0.997645309,5.37758386
-0.986541858,5.37758386
-0.959490097,5.37758386
-0.958685697,5.37758386
-0.915730326,5.37758386
-0.900395948,5.37758386
-0.899970482,5.37758386
-0.883235534,5.37758386
-0.865608818,5.37758386
-0.841167994,5.37758386
-0.824165738,5.37758386
-0.793111387,5.37758386
-0.727904877,5.37758386
-0.72154699,5.37758386
-0.69507639,5.37758386
-0.670065843,5.37758386
-0.660194082,5.37758386
-0.634804296,5.37758386
-0.610460555,5.37758386
-0.682305172,5.384933461
-0.562952447,5.384933461
-0.554245655,5.384933461
-0.537741188,5.384933461
-0.527664558,5.384933461
-0.516302669,5.384933461
-0.510893768,5.384933461
-0.50812456,5.384933461
-0.498943154,5.384933461
-0.490561249,5.384933461
-0.489116013,5.384933461
-0.483367422,5.384933461
-0.481600151,5.384933461
-0.476520112,5.384933461
-0.47432725,5.384933461
-0.473611707,5.384933461
-0.460181829,5.384933461
-0.45249511,5.384933461
-0.450753407,5.384933461
-0.450630666,5.384933461
-0.448467551,5.384933461
-0.446012688,5.384933461
-0.440951105,5.384933461
-0.435454937,5.384933461
-0.433372941,5.384933461
-0.431690719,5.384933461
-0.427922058,5.384933461
-0.427685536,5.384933461
-0.424421276,5.384933461
-0.424214832,5.384933461
-0.417950797,5.384933461
-0.410982971,5.384933461
-0.410025119,5.384933461
-0.402860242,5.384933461
-0.400894505,5.384933461
-0.397264187,5.384933461
-0.393699733,5.384933461
-0.390959298,5.384933461
-0.383431176,5.384933461
-0.38279329,5.384933461
-0.382160713,5.384933461
-0.380960914,5.384933461
-0.38015177,5.384933461
-0.378423755,5.384933461
-0.375588705,5.384933461
-0.362357823,5.384933461
-0.356892183,5.384933461
-0.353541267,5.384933461
-0.352200174,5.384933461
-0.350241169,5.384933461
-0.35011155,5.384933461
-0.349667571,5.384933461
-0.34833674,5.384933461
-0.347939386,5.384933461
-0.347293509,5.384933461
-0.327272158,5.384933461
-0.307436909,5.384933461
-0.293791098,5.384933461
-0.280112411,5.384933461
-0.272511028,5.384933461
-0.264981806,5.384933461
-0.240068164,5.384933461
-0.172732365,5.384933461
-0.14393403,5.384933461
-1.57281374,5.54547503
-1.572782598,5.54547503
-1.569668241,5.54547503
-1.555171252,5.54547503
-1.52661093,5.54547503
-1.519684854,5.54547503
-1.515506342,5.54547503
-1.515475192,5.54547503
-1.512360084,5.54547503
-1.507038292,5.54547503
-1.497859528,5.54547503
-1.469291819,5.54547503
-1.462363877,5.54547503
-1.449713831,5.54547503
-1.417077117,5.54547503
-1.35972471,5.54547503
-1.345363446,5.54547503
-1.345307676,5.54547503
-1.343946022,5.54547503
-1.343886636,5.54547503
-1.339714335,5.54547503
-1.337928078,5.54547503
-1.313243844,5.54547503
-1.309659466,5.54547503
-1.258790917,5.54547503
-1.251116762,5.54547503
-1.245073251,5.54547503
-1.236278668,5.54547503
-1.227012991,5.54547503
-1.226963169,5.54547503
-1.221969837,5.54547503
-1.219451147,5.54547503
-1.20916494,5.54547503
-1.209118153,5.54547503
-1.208458235,5.54547503
-1.20443069,5.54547503
-1.198434131,5.54547503
-1.182381916,5.54547503
-1.154727942,5.54547503
-1.154695268,5.54547503
-1.151427179,5.54547503
-1.150539107,5.54547503
-1.13859026,5.54547503
-1.137755461,5.54547503
-1.136199148,5.54547503
-1.126675656,5.54547503
-1.116404757,5.54547503
-1.106163606,5.54547503
-1.106121291,5.54547503
-1.09881108,5.54547503
-1.0854462,5.54547503
-1.008461794,5.54547503
-0.989681094,5.54547503
-0.972713938,5.54547503
-0.970949711,5.54547503
-0.970905064,5.54547503
-0.966433177,5.54547503
-0.94737337,5.54547503
-0.945428712,5.54547503
-0.941267432,5.54547503
-0.903076617,5.54547503
-0.892596654,5.54547503
-0.873233982,5.54547503
-0.725290398,5.54547503
-2.055237998,5.606244398
-2.001243658,5.606244398
-1.954886802,5.606244398
-1.948949051,5.606244398
-1.933884806,5.606244398
-1.931477733,5.606244398
-1.909404678,5.606244398
-1.908724112,5.606244398
-1.930586238,5.685629851
-1.884292665,5.685629851
-1.810267135,5.685629851
-1.768924984,5.685629851
-1.764549692,5.685629851
-1.741525827,5.685629851
-1.733912566,5.685629851
-1.722161161,5.685629851
-1.701217085,5.685629851
-1.699512868,5.685629851
-1.672645358,5.685629851
-1.66905953,5.685629851
-1.6510476,5.685629851
-1.58737297,5.685629851
-1.538849536,5.685629851
-1.524534115,5.685629851
-1.479679815,5.685629851
-1.463059083,5.685629851
-1.42409741,5.685629851
-1.42290646,5.685629851
-1.394680966,5.685629851
-1.39013136,5.685629851
-1.38073717,5.685629851
-1.356964715,5.685629851
-1.343113504,5.685629851
-1.296175305,5.685629851
-1.284533846,5.685629851
-1.239468153,5.685629851
-1.231773528,5.685629851
-1.209612654,5.685629851
-1.201981523,5.685629851
-1.188252257,5.685629851
-1.183364302,5.685629851
-1.179774831,5.685629851
-1.176317785,5.685629851
-1.156057814,5.685629851
-1.153885713,5.685629851
-1.146586944,5.685629851
-1.134805666,5.685629851
-1.134665109,5.685629851
-1.112664231,5.685629851
-1.100775628,5.685629851
-1.095502015,5.685629851
-1.076968835,5.685629851
-1.075127134,5.685629851
-1.068069783,5.685629851
-1.065228709,5.685629851
-1.061536369,5.685629851
-1.056213329,5.685629851
-1.045602167,5.685629851
-1.032795768,5.685629851
-1.026134493,5.685629851
-1.022437023,5.685629851
-1.011712123,5.685629851
-0.994860212,5.685629851
-0.983575484,5.685629851
-0.9769916,5.685629851
-0.934761443,5.685629851
-0.924957536,5.685629851
-0.883413606,5.685629851
-0.864968928,5.685629851
-0.825123792,5.685629851
-1.598387261,5.741021196
-1.54108583,5.741021196
-1.480395501,5.741021196
-1.471802665,5.741021196
-1.466676158,5.741021196
-1.443805135,5.741021196
-1.435576808,5.741021196
-1.423063357,5.741021196
-1.421844783,5.741021196
-1.414467942,5.741021196
-1.412186253,5.741021196
-1.409339872,5.741021196
-1.391477622,5.741021196
-1.390144865,5.741021196
-1.386461643,5.741021196
-1.37823063,5.741021196
-1.364494007,5.741021196
-1.354832155,5.741021196
-1.267232829,5.741021196
-1.249390998,5.741021196
-1.247038334,5.741021196
-1.162756344,5.741021196
-1.146365585,5.741021196
-1.143586138,5.741021196
-1.131921067,5.741021196
-1.125187819,5.741021196
-1.125085708,5.741021196
-1.11595837,5.741021196
-1.112252279,5.741021196
-1.110507585,5.741021196
-1.086139153,5.741021196
-1.077579324,5.741021196
-1.077351197,5.741021196
-1.067962942,5.741021196
-1.062659606,5.741021196
-1.061661359,5.741021196
-1.057007851,5.741021196
-1.052306428,5.741021196
-1.051796953,5.741021196
-1.051463821,5.741021196
-1.046902267,5.741021196
-1.042917181,5.741021196
-1.042015288,5.741021196
-1.037995365,5.741021196
-1.02820543,5.741021196
-1.021298791,5.741021196
-0.997266132,5.741021196
-0.99702413,5.741021196
-0.995039013,5.741021196
-0.987474773,5.741021196
-0.98218686,5.741021196
-0.980251199,5.741021196
-0.957208192,5.741021196
-0.956471627,5.741021196
-0.951491975,5.741021196
-0.937944233,5.741021196
-0.930642692,5.741021196
-0.872477803,5.741021196
-0.867164822,5.741021196
-0.853351766,5.741021196
-0.807126614,5.741021196
-0.794737628,5.741021196
-0.7931574,5.741021196
-0.769419367,5.741021196
-2.115938836,5.804094602
-2.048433615,5.804094602
-2.020052037,5.804094602
-1.931140057,5.804094602
-1.8497483,5.804094602
-1.835276534,5.804094602
-1.635170765,5.859217738
-1.619388395,5.859217738
-1.587224155,5.859217738
-1.478973736,5.859217738
-1.402927559,5.859217738
-1.357669762,5.859217738
-1.28876446,5.859217738
-1.271125031,5.859217738
