BH2_FDSW220017122-1r 3
BH4_FDSW220017124-1r 3
BH6_FDSW220017126-1r 3
BH8_FDSW220017128-1r 3
BH10_FDSW220017130-1r 3
BH12_FDSW220017132-1r 3
BH14_FDSW220017134-1r 3
BH15_FDSW220017135-1r 3
DD1_FDSW220008388-1r 1
DD3_FDSW220008390-2r 1
DD5_FDSW220008392-2r 1
DD7_FDSW220008394-1r 1
DD9_FDSW220008396-1r 1
DD13_FDSW220008400-2r 1
DY2_FDME210438600-1b 1
DY6_FDME210438604-1r 1
DY7_FDME210438605-1r 1
DY10_FDME210438608-1r 1
DY11_FDME210438609-1r 1
DY13_FDME210438611-1b 1
DY15_FDME210438613-1r 1
LYG1_FDME210455382-1r 11
LYG3_FDME210455384-1r 11
LYG5_FDME210455386-1r 7
LYG6_FDME210455387-1r 7
LYG7_FDME210455388-1r 6
LYG11_FDME210455392-2r 6
LYG13_FDME210455394-1a 6
NB1_FDME210455352-1r 11
NB2_FDME210455353-1r 8
NB4_FDME210455355-1r 11
NB6_FDME210455357-1r 11
NB7_FDME210455358-1r 9
NB11_FDME210455362-1b 11
NB12_FDME210455363-1r 11
NB15_FDME210455366-1r 11
SY3_FDME210455399-2a 2
SY7_FDME210455403-2a 2
SY9_FDME210455405-2a 4
SY11_FDME210455407-1r 3
SY12_FDME210455408-1r 4
SY13_FDME210455409-2a 2
SY15_FDME210455411-2a 2
ST1_FDME220007465-1r 5
ST3_L1 3
ST7_FDME220007471-1r 3
ST9_L1 2
ST10_L1 3
ST12_L1 3
ST13_L1 2
ST15_L1 2
WZ1_L1 14
WZ3_L1 14
WZ5_L1 14
WZ7_FDME210455463-1r 11
WZ10_L1 15
WZ11_L1 16
WZ14_L1 14
WZ15_FDME210455471-1r 13
XM2_FDME220007436-1r 2
XM4_FDME220007438-1r 2
XM6_FDME220007440-1r 2
XM8_FDME220007442-1r 2
XM10_FDME220007444-1r 2
XM12_FDME220007446-1r 4
XM14_FDME220007448-1r 2
XM15_FDME220007449-1r 2
YC1_FDME220007405-1r 4
YC3_FDME220007407-1r 5
YC5_FDME220007409-1r 3
YC7_FDME220007411-1a 5
YC9_FDME220007413-1r 3
YC11_FDME220007415-1r 4
YC13_FDME220007417-1r 4
YC15_FDME220007419-1r 4
ZH1_FDSW220008784-1r 1
ZH3_FDSW220008786-1r 1
ZH5_FDSW220008788-1r 1
ZH7_FDSW220008790-1r 1
ZH9_FDSW220008792-2r 1
ZH11_FDSW220008794-2r 1
ZH13_FDSW220008796-2r 1
ZH15_FDSW220008798-2r 1
