A1-20-normal 2.3412443351964
A3-20-normal 3.17555719294623
A5-20-normal 3.010138934157
B1-20-normal 3.34831580643126
B3-20-normal 3.31311138631778
B5-20-normal 3.33944312291307
C1-20-normal 3.04533834880823
C3-20-normal 3.20456316428348
C5-20-normal 3.14279362069668
A1-40-normal 3.14279839083002
A3-40-normal 3.03542052698994
A5-40-normal 3.29712892137116
B1-40-normal 3.30524420941522
B3-40-normal 3.21822351002478
B5-40-normal 3.25608979098305
C1-40-normal 3.2647816488513
C3-40-normal 3.22354184037888
C5-40-normal 3.1917567650989
A1-60-normal 3.24008187337659
A3-60-normal 3.26609737463285
A5-60-normal 3.24187572107623
B1-60-normal 3.32553013170942
B3-60-normal 3.2072965132589
B5-60-normal 3.16595834687571
C1-60-normal 3.10234051513691
C3-60-normal 3.20093988338495
C5-60-normal 3.2706163140987
A1-80-normal 3.16103661209569
A3-80-normal 3.21889372327789
A5-80-normal 3.05336148973048
B1-80-normal 3.12850826092458
B3-80-normal 3.21527976545967
B5-80-normal 3.34740285162229
C1-80-normal 3.20171005108347
C3-80-normal 3.24087095147083
C5-80-normal 3.04572644851496
A1-100-normal 2.95439528138688
A3-100-normal 3.13158520336552
A5-100-normal 3.03426262426413
B1-100-normal 3.04142719716702
B3-100-normal 3.02231524001684
B5-100-normal 2.9511389245703
C1-100-normal 2.89190792474017
C3-100-normal 3.08549234808057
C5-100-normal 3.18316976277885
