A1-20-normal,0.295810569,-0.204960577,20
A3-20-normal,-0.020961476,0.01059246,20
A5-20-normal,0.208323033,-0.048223023,20
B1-20-normal,0.061891273,-0.051962511,20
B3-20-normal,0.164180115,-0.062856393,20
B5-20-normal,-0.032275347,-0.024859209,20
C1-20-normal,-0.024234262,-0.052235881,20
C3-20-normal,0.161694241,-0.023651895,20
C5-20-normal,0.184052099,-0.03763798,20
A1-40-normal,0.15867658,0.093512037,40
A3-40-normal,0.149137773,-0.077170161,40
A5-40-normal,-0.105613956,-0.063945859,40
B1-40-normal,-0.007065508,0.006778113,40
B3-40-normal,-0.056365915,-0.048085772,40
B5-40-normal,-0.102384302,-0.015823814,40
C1-40-normal,-0.141410402,-0.037914245,40
C3-40-normal,-0.152480673,-0.08137735,40
C5-40-normal,-0.030753543,0.001546711,40
A1-60-normal,-0.025853215,0.10659721,60
A3-60-normal,-0.14816168,-0.028390337,60
A5-60-normal,-0.12140882,-0.00975329,60
B1-60-normal,-0.156444574,-0.053864618,60
B3-60-normal,-0.118653416,-0.024449415,60
B5-60-normal,0.155518019,-0.059735803,60
C1-60-normal,-0.111707819,-0.013979037,60
C3-60-normal,-0.151487048,-0.026498438,60
C5-60-normal,-0.056296631,-0.021014885,60
A1-80-normal,0.00704627,0.17124416,80
A3-80-normal,-0.166488932,-0.030305464,80
A5-80-normal,-0.012029176,0.050491487,80
B1-80-normal,-0.128243807,-0.047109873,80
B3-80-normal,-0.140209489,-0.003059471,80
B5-80-normal,-0.126855656,-0.015298663,80
C1-80-normal,-0.02560122,0.073218406,80
C3-80-normal,-0.14250878,0.00754036,80
C5-80-normal,-0.008476766,0.090680315,80
A1-100-normal,0.03568366,0.219172324,100
A3-100-normal,-0.088916513,0.005738327,100
A5-100-normal,0.150952334,0.109757496,100
B1-100-normal,0.134320656,-0.09978575,100
B3-100-normal,0.297069073,0.065540773,100
B5-100-normal,0.036011461,0.090447679,100
C1-100-normal,0.15877208,0.017793053,100
C3-100-normal,-0.001213459,0.069548678,100
C5-100-normal,0.04496315,0.073750123,100
