	CXD_0801_FDSW210423161-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_0805_FDSW210423165-1r	CXD_0807_FDSW210423167-1r	CXD_1001_FDSW210423173-1r	CXD_1003_FDSW210423175-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1015_FDSW210423187-1r	CXD_1201_FDSW210423188-1r	CXD_1202_FDSW210423189-1r	CXD_1203_FDSW210423190-1r	CXD_1213_FDSW210423200-1r	CXD_1214_FDSW210423201-1r	CXD_1215_FDSW210423202-1r	CXD_0204_FDSW210423206-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0215_FDSW210423217-1r	CXD_1401_FDSW210423218-1r	CXD_1402_FDSW210423219-1r	CXD_1408_FDSW210423225-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1415_FDSW210423232-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r
SD_QD_2020_06_15_bin_35	4.648571097	2.068038356	4.331464026	4.857350072	5.617012058	4.336978739	1.695953004	1.941625551	2.738788966	5.517873384	5.130310146	4.477587389	1.574963794	3.148472114	2.688116653	4.582609099	6.212778298	4.019212988	1.823589996	7.70446862	2.963846328	2.186850458	1.282903753	1.975952699	2.094940541	1.48352903	8.212464696	9.109068426	8.058577385	7.535522759	2.591448939	8.216188793	0	1.133723851	0	0
SD_QD_2020_06_15_bin_37	0	0	0	0	0	0	0	3.71460069	0	1.623815501	1.997118174	3.920124853	1.270879823	0.963877599	5.390562949	9.71346263	5.104050412	1.304625323	0	0	0	0	0	1.128224514	1.734784729	3.975695601	0	2.266065634	8.695761991	9.465909704	11.27569727	0	0	0	0	0
SD_QD_2020_06_15_bin_38	1.253639497	5.116051139	1.412788785	2.229670818	1.889259706	2.498035645	1.881299295	2.211426617	1.987680224	1.995854202	2.755939175	4.977809914	2.633666138	3.114250396	2.721462149	5.173399819	4.88950644	2.803414798	2.429900655	2.416508396	2.935098144	2.033837481	1.110526358	2.488074097	1.425384222	1.258630222	0	2.82562479	4.357656299	5.235997839	2.524788714	1.555883459	2.369453088	2.777920809	2.203046998	1.610619503
SD_QD_2020_06_15_bin_40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.714428161	0	0	0	0	0	0	0	0	0	0	0	0	1.833408669	1.737659182	2.784862991	0	4.837949738	3.355664953	3.057615713	4.566835974
SD_QD_2020_06_15_bin_44	2.586912243	3.293911359	2.983017362	2.847698577	4.052032695	2.817461385	2.901453266	2.787374612	3.396667333	2.625976898	3.313519482	5.557171164	1.586146823	2.632289366	3.463628749	4.860415976	4.796971726	3.330948378	1.867346093	4.044899283	2.889686306	2.059746209	1.978164367	2.192326842	1.697780056	1.662913033	2.199918208	6.164416257	6.995307776	6.303154973	3.434920671	3.069187655	2.584763449	2.747540795	2.719745958	2.173810397
SD_QD_2020_06_15_bin_6	0	0	0	0	0	0	0	0	0	0	0	1.55125494	0	0	0	0.928417857	1.342590626	0	0	0	0	0	0	0	0	0	0	2.142147181	2.016123637	1.635369288	0.888123783	0	0	0	0	0
SD_QD_2020_06_15_bin_7	0	1.123122179	0	0	0	0	0	0.784584656	0	0	0.981759945	0.957309753	0	0.995023523	2.459463504	3.321998088	2.10610126	0	1.114460295	1.644708771	1.674265545	0	0	0.892351885	1.160991375	0.975887917	0	0	1.170679075	2.676621126	1.601268076	0.950863912	3.499196064	2.245323207	1.890703515	1.8232988
SD_QD_2020_12_15_bin_6	1.272126514	0	0	0	4.034047874	3.886312123	17.82907932	3.355858898	4.085184124	0	2.600703408	3.451883078	27.6915204	13.80566351	1.128167949	3.031739549	4.671403441	12.02608828	19.86803129	2.072177377	1.702919168	10.00019655	6.516619909	8.697085221	0	1.275992736	0	1.230353058	2.930497343	3.260571261	0	0	4.654918652	3.180353631	2.967029776	3.685169928
SD_QD_2021_02_15_bin_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.082094281	22.17263638	26.33872462	9.959305645	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2021_02_15_bin_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.856138458	0	0	21.10225705	30.07951277	12.65921557	0	0	0	1.553876243	0	0	0	0	0	0	0	0
SD_QD_2023_07_100_ultra_bin_1	0	1.50457901	0.986031229	0	0	0	0	0	0	0	0	0.923372028	0	0	1.527956378	1.607217725	0.962512152	0	0	0	0	0	0	0	1.076638737	0	1.972296853	0	1.596965201	0.854791273	0	1.20401479	0	0	0	0
SD_QD_2023_07_100_ultra_bin_3	0	1.16614193	0	0.916564765	0	0.913308189	0	0	0	1.478433707	0.960214672	0.862453547	0	0	0	1.263357108	1.057364299	0	0	1.428818084	1.210558766	0	0	0	0	0	1.496613404	0	1.088337356	1.579399109	1.009220757	2.624558827	1.160207547	0.880594302	0	1.147755096
