	Virus	Host
C1-80-normal	2.143087117	4.342272689
C1-60-normal	2.201438867	5.930256269
B3-60-normal	2.228745356	5.343439854
C5-40-normal	2.380649898	5.963074199
A5-60-normal	2.416818211	6.009750473
C5-60-normal	2.528056726	5.627975779
DD9_FDSW220008396-1r	2.620342607	1.007161443
A5-40-normal	2.638237388	6.60316792
DD5_FDSW220008392-2r	2.658787632	1.670246634
C3-40-normal	2.664141825	7.56811055
DD7_FDSW220008394-1r	2.693133307	1.235332363
B3-80-normal	2.696112754	5.212917177
C3-80-normal	2.775270892	5.539142876
B3-40-normal	2.778741611	4.907003848
C3-60-normal	2.863149909	6.499316679
B5-20-normal	2.897037238	6.34401072
C1-20-normal	3.045201376	5.390580401
B3-60-ultra	3.052419006	6.71927922
B5-80-normal	3.12060383	5.574696686
A3-80-normal	3.172265007	6.931688046
B1-60-normal	3.194219285	7.381859364
A3-60-normal	3.286074023	7.119570358
B3-80-ultra	3.333961906	6.368167325
B5-40-normal	3.399350826	6.68269011
B3-40-ultra	3.450878871	6.102031562
C1-40-normal	3.706542087	6.288522357
B1-80-normal	4.465138519	6.856221024
DD13_FDSW220008400-2r	4.526506072	0.855536441
DD1_FDSW220008388-1r	4.751506875	1.116622634
