group,name1,name2,C.ij.bray,E.ij.bray,ST.ij.bray,NST.ij.bray,MST.ij.bray,SES.ij.bray,RC.ij.bray
1,a,BH4_FDSW220017124-1r,BH2_FDSW220017122-1r,0.943007672,0.10287254926,0.109089832791944,-2.64390363149216,0.00693021211959934,-4.46243881594508,-1
2,a,BH6_FDSW220017126-1r,BH2_FDSW220017122-1r,0.618221581,0.06303401325,0.101960227832939,-2.67806581671901,0.0415449601516065,-4.35287934449512,-0.996
3,a,BH8_FDSW220017128-1r,BH2_FDSW220017122-1r,0.50645343,0.07034013554,0.138887667401127,-2.5011244521223,0.0737339907654757,-3.12835949983218,-0.964
4,a,BH10_FDSW220017130-1r,BH2_FDSW220017122-1r,0.894163376,0.08877966213,0.0992879651671173,-2.69087021930366,0.0115321208278567,-4.73456980197563,-1
5,a,BH12_FDSW220017132-1r,BH2_FDSW220017122-1r,0.607311564,0.06747586081,0.111105838929818,-2.63424374493511,0.0467869691370303,-4.1694711781094,-0.998
6,a,BH14_FDSW220017134-1r,BH2_FDSW220017122-1r,0.368092522,0.03498333299,0.0950395101751076,-2.71122709842943,0.0622333056393577,-4.61397869624264,-1
7,a,BH15_FDSW220017135-1r,BH2_FDSW220017122-1r,0.392920615,0.046048,0.117194156381945,-2.60507098856006,0.0745804363132998,-3.86380095633593,-0.996
8,a,DD1_FDSW220008388-1r,BH2_FDSW220017122-1r,0,0.00941747756,0.99058252244,1.57985304409171,0,0.327585549679474,0.097
9,a,DD3_FDSW220008390-2r,BH2_FDSW220017122-1r,0,0.00218181622000002,0.99781818378,1.61452340862904,0,0.347786079293957,0.108
10,a,DD5_FDSW220008392-2r,BH2_FDSW220017122-1r,0,0.00588118449999997,0.9941188155,1.59679753109019,0,0.33131259486486,0.099
11,a,DD7_FDSW220008394-1r,BH2_FDSW220017122-1r,0,0.00252525030000006,0.9974747497,1.61287781133135,0,0.377775443503511,0.125
12,a,DD9_FDSW220008396-1r,BH2_FDSW220017122-1r,0,0.00165656432000005,0.99834343568,1.61704020343068,0,0.298722771340983,0.082
13,a,DD13_FDSW220008400-2r,BH2_FDSW220017122-1r,0,0.00387999999999999,0.99612,1.60638639834935,0,0.327585549679475,0.097
14,a,DY2_FDME210438600-1b,BH2_FDSW220017122-1r,0,0.03315702559,0.96684297441,1.46610272529203,0,0.318037318475044,0.098
15,a,DY6_FDME210438604-1r,BH2_FDSW220017122-1r,0,0.03867973823,0.96132026177,1.43964011856316,0,0.276852292857087,0.087
16,a,DY7_FDME210438605-1r,BH2_FDSW220017122-1r,0,0.03725984193,0.96274015807,1.44644368772056,0,0.31229202969826,0.095
17,a,DY10_FDME210438608-1r,BH2_FDSW220017122-1r,0,0.04607194417,0.95392805583,1.40421965557687,0,0.318588493118894,0.106
18,a,DY11_FDME210438609-1r,BH2_FDSW220017122-1r,0,0.0243103435499999,0.97568965645,1.5084924498604,0,0.300517995114566,0.087
19,a,DY13_FDME210438611-1b,BH2_FDSW220017122-1r,0,0.03541085466,0.96458914534,1.45530328737061,0,0.297396016667228,0.089
20,a,DY15_FDME210438613-1r,BH2_FDSW220017122-1r,0,0.03825196793,0.96174803207,1.44168982093898,0,0.312793062479252,0.095
21,a,LYG1_FDME210455382-1r,BH2_FDSW220017122-1r,0,0.09829213653,0.90170786347,1.15400160082602,0,0.953335532971195,0.743
22,a,LYG3_FDME210455384-1r,BH2_FDSW220017122-1r,0,0.11509091195,0.88490908805,1.07350865896148,0,0.933101428222058,0.734
23,a,LYG5_FDME210455386-1r,BH2_FDSW220017122-1r,0,0.0719729730699999,0.92802702693,1.28011239410367,0,0.768423665246085,0.55
24,a,LYG6_FDME210455387-1r,BH2_FDSW220017122-1r,0,0.0485196876,0.9514803124,1.39249105842116,0,0.782879769328621,0.561
25,a,LYG7_FDME210455388-1r,BH2_FDSW220017122-1r,0,0.03539655443,0.96460344557,1.45537180829272,0,0.763232604966897,0.523
26,a,LYG11_FDME210455392-2r,BH2_FDSW220017122-1r,0,0.07760759575,0.92239240425,1.25311355969637,0,0.674843950360229,0.461
27,a,LYG13_FDME210455394-1a,BH2_FDSW220017122-1r,0,0.11475126859,0.88524873141,1.07513609266112,0,0.726850194409957,0.52
28,a,NB1_FDME210455352-1r,BH2_FDSW220017122-1r,0,0.09631818143,0.90368181857,1.16345999580631,0,0.984839341579249,0.749
29,a,NB2_FDME210455353-1r,BH2_FDSW220017122-1r,0,0.04722221866,0.95277778134,1.39870800515373,0,0.848247209239815,0.597
30,a,NB4_FDME210455355-1r,BH2_FDSW220017122-1r,0,0.09563218684,0.90436781316,1.16674700460735,0,0.923642396344935,0.729
31,a,NB6_FDME210455357-1r,BH2_FDSW220017122-1r,0,0.10700523353,0.89299476647,1.11225196177518,0,0.970574728750646,0.739
32,a,NB7_FDME210455358-1r,BH2_FDSW220017122-1r,0,0.0999186010000001,0.900081399,1.1462082404914,0,0.881993336233288,0.667
33,a,NB11_FDME210455362-1b,BH2_FDSW220017122-1r,0,0.1079390863,0.8920609137,1.10777731675813,0,0.954456017474918,0.722
34,a,NB12_FDME210455363-1r,BH2_FDSW220017122-1r,0,0.11523364639,0.88476635361,1.07282473321727,0,0.959504819094733,0.735
35,a,NB15_FDME210455366-1r,BH2_FDSW220017122-1r,0,0.11557009479,0.88442990521,1.07121260847457,0,0.945499366603939,0.728
36,a,SY3_FDME210455399-2a,BH2_FDSW220017122-1r,0,0.0307586211500001,0.96924137885,1.47759490995013,0,0.408521381209525,0.172
37,a,SY7_FDME210455403-2a,BH2_FDSW220017122-1r,0,0.00809803740000004,0.9919019626,1.5861752680299,0,0.442960610516258,0.186
38,a,SY9_FDME210455405-2a,BH2_FDSW220017122-1r,0,0.0559999997,0.9440000003,1.35664842632805,0,0.576679344713671,0.362
39,a,SY11_FDME210455407-1r,BH2_FDSW220017122-1r,0,0.03135087778,0.96864912222,1.47475705556518,0,0.539079699155691,0.289
40,a,SY12_FDME210455408-1r,BH2_FDSW220017122-1r,0,0.08068292685,0.91931707315,1.2383778160926,0,0.574815544377011,0.347
41,a,SY13_FDME210455409-2a,BH2_FDSW220017122-1r,0,0.02161062048,0.97838937952,1.52142843160257,0,0.396486194296705,0.166
42,a,SY15_FDME210455411-2a,BH2_FDSW220017122-1r,0,0.05107462692,0.94892537308,1.38024882188841,0,0.423239790098366,0.182
43,a,ST1_FDME220007465-1r,BH2_FDSW220017122-1r,0,0.10492,0.89508,1.12224355801407,0,0.63908701809784,0.419
44,a,ST3_L1,BH2_FDSW220017122-1r,0,0.01773832021,0.98226167979,1.53998292933959,0,0.520383036145569,0.274
45,a,ST7_FDME220007471-1r,BH2_FDSW220017122-1r,0,0.03913333337,0.96086666663,1.43746667399228,0,0.505601824112824,0.259
46,a,ST9_L1,BH2_FDSW220017122-1r,0,0.00639604423999995,0.99360395576,1.59433053131883,0,0.471575525557302,0.205
47,a,ST10_L1,BH2_FDSW220017122-1r,0,0.0346324799,0.9653675201,1.45903294460687,0,0.515557244551285,0.27
48,a,ST12_L1,BH2_FDSW220017122-1r,0,0.01626168489,0.98373831511,1.54705836894732,0,0.51265427599638,0.265
49,a,ST13_L1,BH2_FDSW220017122-1r,0,0.00407999999999997,0.99592,1.60542807918795,0,0.482764094983775,0.196
50,a,ST15_L1,BH2_FDSW220017122-1r,0,0.00427999999999995,0.99572,1.60446976002656,0,0.482883747948021,0.2
51,a,WZ1_L1,BH2_FDSW220017122-1r,0,0.12399137889,0.87600862111,1.03086121889179,0,1.0873044884095,0.844
52,a,WZ3_L1,BH2_FDSW220017122-1r,0,0.12065470491,0.87934529509,1.04684921194355,0,1.0621723733086,0.838
53,a,WZ5_L1,BH2_FDSW220017122-1r,0,0.12164315377,0.87835684623,1.04211296453058,0,1.07989431000626,0.827
54,a,WZ7_FDME210455463-1r,BH2_FDSW220017122-1r,0,0.127318384,0.872681616,1.01491955515698,0,0.98312018672871,0.768
55,a,WZ10_L1,BH2_FDSW220017122-1r,0,0.1226200835,0.8773799165,1.03743191213262,0,1.11544263710893,0.858
56,a,WZ11_L1,BH2_FDSW220017122-1r,0,0.14548623832,0.85451376168,0.927866540575798,0,1.17530779685257,0.876
57,a,WZ14_L1,BH2_FDSW220017122-1r,0,0.10789423134,0.89210576866,1.10799224359639,0,1.04456874602732,0.815
58,a,WZ15_FDME210455471-1r,BH2_FDSW220017122-1r,0,0.12665254114,0.87334745886,1.01811000501305,0,1.05934576188334,0.802
