distv_env,distv_num
2.757521834,0.005059446
3.506115118,0.005208482
2.479829712,0.005543416
4.572408405,0.006549316
2.104708631,0.006579118
6.489513353,0.00678858
2.539302385,0.006977163
3.902365695,0.00703259
2.952635706,0.007087731
2.348907085,0.007467549
4.610820019,0.007657044
3.993984191,0.007696179
6.492557658,0.007772571
3.738976628,0.008171349
4.216748301,0.008201485
4.651349182,0.008212197
4.944452813,0.008241079
6.203131108,0.008245848
5.390710964,0.008272442
4.734851777,0.008333684
3.97564515,0.00838147
6.088342481,0.008454277
4.872582766,0.008565723
4.527315292,0.008791867
3.878851635,0.008805662
5.127708187,0.008862595
5.373476877,0.008874224
3.708402286,0.008944712
6.481050291,0.008962502
3.966394077,0.008983005
4.013160556,0.009120289
2.689133901,0.009129476
4.856445899,0.009215526
4.167521699,0.009294304
4.031956571,0.009441022
6.858047708,0.009520321
5.104209962,0.009521999
4.452132843,0.009548782
5.069387573,0.009566539
2.869762015,0.0095837
2.917102993,0.009586393
3.182974785,0.009736906
4.107552671,0.00978288
1.990882305,0.009804442
3.8072508,0.009834919
2.628172081,0.009837339
6.504195272,0.009868275
6.416141328,0.009922909
5.700400754,0.009929572
2.929171814,0.009934556
3.518356453,0.009936867
4.334443344,0.009971405
6.500450207,0.010020943
3.357564734,0.010030263
4.376680616,0.010061008
3.884107363,0.010077157
5.072520735,0.01009419
3.668107296,0.01009516
3.681042061,0.010103451
2.488094924,0.010129949
3.362177956,0.010154185
3.477471319,0.01019008
6.041516112,0.010201448
2.908088101,0.010254814
6.410137702,0.010277177
3.899477502,0.010400302
3.459849112,0.010430134
3.351846187,0.010437501
5.707091087,0.010482097
6.652745565,0.010494113
5.60476629,0.010545776
5.735910313,0.010576698
4.240761182,0.010579474
3.077215963,0.010622796
3.562428236,0.010649161
7.43747006,0.010676338
4.542590137,0.010681829
4.164588464,0.010741662
4.959384248,0.010759413
7.404717152,0.010763291
5.119030568,0.010820354
2.665992218,0.010849373
3.617045798,0.010882359
4.634774458,0.010896877
6.056894768,0.010903747
5.31584719,0.010913237
5.732263637,0.010927101
5.842838073,0.010969211
3.703999838,0.010969978
3.598707755,0.011026906
6.655420845,0.011038536
4.172101661,0.01103906
5.980379712,0.011044972
3.620893498,0.011056521
3.810173035,0.011084766
2.826138201,0.011091314
6.038416004,0.01109164
3.261418332,0.01109464
4.496915663,0.011104884
4.074100809,0.011111366
6.440516455,0.011137066
2.904354831,0.01116172
5.840933794,0.011176571
5.35549265,0.011187194
5.047505022,0.01119658
5.331430456,0.0111983
2.81206249,0.011203628
6.110898246,0.011237573
2.644051001,0.011247369
3.49430177,0.011275367
5.5879441,0.011283068
2.757030995,0.011476943
4.959431476,0.011554151
3.548089705,0.011563781
3.422845483,0.011570879
6.102795735,0.011586365
3.101745792,0.011599286
4.955889947,0.011600832
3.867014167,0.011612084
3.835407646,0.01161945
5.210591203,0.011619801
2.417484279,0.01163874
3.853339878,0.011644348
